server_time,timestamp,label,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
2025-05-29 06:32:59.681,1986151,crazy,-0.5269,-0.3501,0.7788,24.5361,-52.7954,-117.3706
2025-05-29 06:32:59.681,1986201,crazy,-0.2305,-0.0317,0.5093,9.9487,-13.855,-141.2354
2025-05-29 06:32:59.835,1986251,crazy,-0.0273,0.0317,0.2295,-8.4839,-16.7236,-149.0479
2025-05-29 06:32:59.836,1986301,crazy,0.0664,0.394,-0.0386,-29.1138,-1.2817,-140.9912
2025-05-29 06:32:59.836,1986351,crazy,-0.1494,-0.1797,0.3838,27.832,0.1221,-123.1079
2025-05-29 06:32:59.836,1986401,crazy,-0.1147,-0.0298,0.543,5.188,-8.5449,-133.4229
2025-05-29 06:32:59.836,1986451,crazy,-0.4062,-0.1543,0.7388,21.9727,-62.6221,-121.2158
2025-05-29 06:32:59.836,1986501,crazy,-0.1084,-0.5547,0.3604,9.7046,-14.0381,-136.0474
2025-05-29 06:33:00.039,1986551,crazy,-0.167,0.3262,0.1953,-9.6436,-11.9019,-151.001
2025-05-29 06:33:00.039,1986601,crazy,0.0361,0.3511,0.2065,-20.6299,2.9907,-139.2212
2025-05-29 06:33:00.039,1986651,crazy,-0.1802,0.041,0.6978,15.4419,9.9487,-127.5635
2025-05-29 06:33:00.039,1986701,crazy,-0.1616,0.0298,1.4399,0.7324,3.0518,-133.2397
2025-05-29 06:33:00.554,1986751,crazy,-0.4468,-0.1172,1.1816,24.7192,-62.6831,-121.9482
2025-05-29 06:33:00.554,1986801,crazy,-0.1631,-0.2451,0.5146,9.5825,-16.0522,-139.3433
2025-05-29 06:33:00.554,1986851,crazy,-0.145,0.1235,0.1323,-13.7329,-14.4653,-149.4751
2025-05-29 06:33:00.554,1986901,crazy,0.0605,-0.0459,0.3101,-27.832,3.1128,-138.4277
2025-05-29 06:33:00.555,1986951,crazy,-0.0732,0.0522,0.2896,17.395,6.897,-127.1973
2025-05-29 06:33:00.555,1987001,crazy,-0.1509,-0.0122,0.9331,5.188,-0.7324,-135.376
2025-05-29 06:33:00.555,1987051,crazy,-0.3687,-0.145,0.8481,25.2075,-66.1011,-122.9248
2025-05-29 06:33:00.555,1987101,crazy,-0.2197,-0.3032,0.604,13.4888,-10.498,-134.2163
2025-05-29 06:33:00.779,1987151,crazy,-0.1733,0.0166,0.3467,-8.4839,-10.0708,-153.0151
2025-05-29 06:33:00.779,1987201,crazy,-0.1455,-0.0127,0.9492,-19.5313,10.7422,-142.5781
2025-05-29 06:33:00.779,1987251,crazy,-0.125,0.0996,0.6738,13.6719,9.4604,-130.6152
2025-05-29 06:33:00.779,1987301,crazy,-0.1675,-0.0151,1.1948,-0.3052,1.9531,-139.8926
2025-05-29 06:33:00.779,1987351,crazy,-0.5234,-0.4277,1.3613,30.3345,-58.1055,-120.4834
2025-05-29 06:33:00.779,1987401,crazy,-0.1558,-0.2725,0.7036,8.4839,-15.0757,-145.1416
2025-05-29 06:33:00.785,1987451,crazy,-0.311,0.439,0.4834,-15.8081,-11.5356,-162.4146
2025-05-29 06:33:00.785,1987573,crazy,-0.1587,-0.0039,0.4199,3.2349,4.3945,-134.9487
2025-05-29 06:33:00.842,1987622,crazy,-0.1699,-0.5215,0.5898,8.4839,-54.3213,-136.9629
2025-05-29 06:33:00.923,1987672,crazy,-0.0586,-0.438,0.811,8.9111,-24.8413,-131.6528
2025-05-29 06:33:01.165,1987722,crazy,-0.1362,-0.2803,0.2983,-0.3052,-10.8032,-149.9023
2025-05-29 06:33:01.165,1987772,crazy,-0.0181,0.4292,0.8765,-30.7617,-0.061,-169.4336
2025-05-29 06:33:01.165,1987822,crazy,-0.1226,-0.0044,1.3213,9.3994,2.2583,-132.9346
2025-05-29 06:33:01.372,1987872,crazy,-0.0947,-0.083,0.5576,3.6621,2.0142,-136.2915
2025-05-29 06:33:01.372,1987922,crazy,-0.3652,0.0415,1.1855,8.3618,-48.8892,-139.3433
2025-05-29 06:33:01.372,1987972,crazy,-0.1489,-0.3062,1.1421,9.2163,-23.6206,-129.3335
2025-05-29 06:33:01.372,1988022,crazy,-0.1841,-0.2373,0.479,-2.0752,-13.0615,-151.3062
2025-05-29 06:33:01.418,1988072,crazy,0.189,-0.0786,0.5537,-37.6587,-0.1221,-166.2598
2025-05-29 06:33:01.418,1988122,crazy,-0.5073,0.5581,1.7305,18.6157,7.5073,-139.1602
2025-05-29 06:33:01.418,1988172,crazy,-0.207,0.3145,1.0581,5.6763,4.6997,-138.3057
2025-05-29 06:33:01.425,1988222,crazy,-0.3745,-0.2261,2.3496,-4.8218,-22.2168,-148.0713
2025-05-29 06:33:01.476,1988272,crazy,-0.0737,-0.9546,0.9351,13.7939,-23.6206,-134.5825
2025-05-29 06:33:01.524,1988322,crazy,-0.2217,-0.3296,0.7041,-5.4321,-8.4839,-151.2451
2025-05-29 06:33:01.574,1988372,crazy,0.0029,0.3691,0.7822,-32.2266,1.3428,-175.4761
2025-05-29 06:33:01.625,1988422,crazy,-0.2905,0.3145,1.4946,7.5684,6.3477,-145.752
2025-05-29 06:33:01.678,1988472,crazy,-0.207,-0.3091,0.3037,15.9912,-6.4697,-142.2119
2025-05-29 06:33:01.724,1988522,crazy,-0.2363,0.1763,1.5483,8.8501,-40.1611,-154.7852
2025-05-29 06:33:01.776,1988572,crazy,-0.0303,-0.0947,0.8774,8.7891,-23.8037,-144.165
2025-05-29 06:33:01.824,1988622,crazy,-0.1772,-0.2031,0.4136,4.2725,-3.9673,-157.7759
2025-05-29 06:33:01.875,1988672,crazy,0.2847,0.1426,0.5596,-38.0249,3.0518,-178.1006
2025-05-29 06:33:01.924,1988722,crazy,-0.2549,0.2412,1.3486,12.6953,5.4932,-147.2778
2025-05-29 06:33:01.974,1988772,crazy,-0.2417,-0.1499,0.8149,9.8267,7.9956,-148.0713
2025-05-29 06:33:02.024,1988822,crazy,-0.5718,-0.1167,1.0464,13.6108,-54.5044,-150.4517
2025-05-29 06:33:02.074,1988872,crazy,-0.1084,-0.3613,0.7388,5.0659,-28.2593,-140.564
2025-05-29 06:33:02.124,1988922,crazy,-0.249,-0.1665,0.4111,2.7466,-10.437,-167.2974
2025-05-29 06:33:02.174,1988972,crazy,0.0674,0.5913,0.5674,-36.7432,-2.8687,-191.8335
2025-05-29 06:33:02.224,1989022,crazy,-0.2583,-0.0215,1.167,11.1084,6.1035,-151.6724
2025-05-29 06:33:02.274,1989072,crazy,-0.2114,0.0381,0.1694,8.8501,1.5869,-158.5693
