server_time,timestamp,label,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
2025-05-29 06:13:54.082,840889,walk,-0.0254,0.0415,1.2798,-2.3193,2.9907,84.8389
2025-05-29 06:13:54.129,840939,walk,-0.1504,-0.0225,1.873,-7.4463,-1.77,67.8101
2025-05-29 06:13:54.183,840989,walk,-0.0454,0.2764,1.6279,-4.0283,6.4087,88.6841
2025-05-29 06:13:54.230,841039,walk,0.0625,0.104,0.6909,-0.3662,-3.2959,103.1494
2025-05-29 06:13:54.279,841089,walk,-0.3711,0.0195,1.5859,-51.0864,-18.2495,80.8105
2025-05-29 06:13:54.331,841139,walk,-0.0581,-0.0054,0.8955,17.4561,7.7515,88.9893
2025-05-29 06:13:54.380,841189,walk,-0.0513,0.084,1.2021,-4.7607,1.8921,84.8389
2025-05-29 06:13:54.430,841239,walk,-0.1367,0.7192,1.666,4.5166,6.0425,60.1807
2025-05-29 06:13:54.481,841289,walk,-0.21,0.4199,1.6812,-7.2632,4.8218,86.1206
2025-05-29 06:13:54.530,841339,walk,0.0273,0.0879,0.6104,-5.249,-3.54,102.356
2025-05-29 06:13:54.579,841389,walk,-0.5386,0.3623,1.6538,-58.6548,-16.4185,75.7446
2025-05-29 06:13:54.630,841439,walk,-0.1055,0.3442,0.9941,21.2402,6.7749,88.623
2025-05-29 06:13:54.680,841489,walk,-0.0195,-0.2158,1.082,-0.3052,-3.8452,86.792
2025-05-29 06:13:54.730,841539,walk,-0.1543,0.2485,1.5435,2.0752,15.1978,61.4014
2025-05-29 06:13:54.780,841589,walk,-0.1504,0.4985,1.6621,-3.8452,2.2583,90.0269
2025-05-29 06:13:54.830,841639,walk,-0.0366,-0.0688,0.7964,-5.9204,-3.1128,101.6235
2025-05-29 06:13:54.880,841689,walk,-0.4014,0.688,1.1851,-49.9268,-19.104,75.1953
2025-05-29 06:13:54.930,841739,walk,-0.0659,0.106,0.5991,19.5313,1.8311,86.0596
2025-05-29 06:13:54.981,841789,walk,-0.0254,-0.0078,1.1831,-1.5259,-3.9062,86.731
2025-05-29 06:13:55.031,841839,walk,-0.2471,-0.248,1.8721,10.5591,21.6064,59.9365
2025-05-29 06:13:55.081,841889,walk,-0.1523,0.5835,1.688,-7.1411,4.8828,87.9517
2025-05-29 06:13:55.130,841939,walk,-0.0522,0.1294,0.8477,-9.5215,-7.2021,102.2949
2025-05-29 06:13:55.182,841989,walk,-0.3506,0.2065,1.27,-36.8652,-19.4702,79.7729
2025-05-29 06:13:55.230,842039,walk,-0.0322,0.0635,0.7856,15.8691,-2.3193,82.8857
2025-05-29 06:13:55.283,842089,walk,-0.0161,0.0728,1.0464,-3.7231,-1.8311,87.4634
2025-05-29 06:13:55.330,842139,walk,-0.2754,-0.3213,1.9097,11.0474,20.0806,59.6313
2025-05-29 06:13:55.379,842189,walk,-0.1074,0.6704,1.6733,-14.8926,-0.9766,87.8296
2025-05-29 06:13:55.430,842239,walk,0.0928,0.0161,0.5,-13.6719,-7.2632,101.7456
2025-05-29 06:13:55.489,842289,walk,-0.1836,-0.0283,1.0273,-24.353,-11.2915,77.9419
2025-05-29 06:13:55.531,842339,walk,-0.0107,0.1519,0.2485,9.3384,-4.4556,77.3926
2025-05-29 06:13:55.579,842389,walk,-0.0591,-0.0122,0.9468,-1.77,1.77,86.731
2025-05-29 06:13:55.630,842439,walk,-0.2227,-0.4023,1.7744,5.7373,24.5361,61.5845
2025-05-29 06:13:55.680,842489,walk,-0.1729,0.6362,1.7949,-12.7563,2.4414,85.6323
2025-05-29 06:13:55.732,842539,walk,0.0542,0.1167,0.6733,-14.0991,-5.8594,103.0273
2025-05-29 06:13:55.781,842589,walk,-0.0933,0.1836,0.9116,-25.0854,-10.437,78.186
2025-05-29 06:13:55.830,842639,walk,-0.0264,0.2451,0.5952,5.6763,-1.8921,73.3643
2025-05-29 06:13:55.881,842689,walk,-0.0146,-0.0552,1.0405,-3.479,0.3662,75.2563
2025-05-29 06:13:55.931,842740,walk,-0.0181,-0.1606,1.3228,3.418,19.6533,31.0669
2025-05-29 06:13:55.980,842789,walk,0.0464,0.1196,1.1533,-10.498,2.0142,30.7007
2025-05-29 06:13:56.031,842839,walk,0.0225,-0.2324,0.8521,-10.7422,-6.1035,30.4565
2025-05-29 06:13:56.080,842889,walk,-0.1611,-0.2075,1.4585,-10.1318,-10.2539,6.958
2025-05-29 06:13:56.131,842939,walk,0.0195,0.145,0.9668,0.1831,0.061,-2.7466
2025-05-29 06:13:56.180,842989,walk,-0.0454,0.0449,1.2056,-4.0894,0.8545,-0.061
2025-05-29 06:13:56.233,843039,walk,-0.0049,-0.1978,0.6597,7.2021,5.0049,0.7935
2025-05-29 06:13:56.280,843089,walk,-0.0684,-0.083,0.4434,-10.6201,-3.9673,7.019
2025-05-29 06:13:56.330,843139,walk,0.0498,-0.0684,0.4365,-4.2114,-5.249,7.9956
2025-05-29 06:13:56.379,843189,walk,-0.2671,-0.8936,1.7192,-10.1318,-3.6621,-1.5869
2025-05-29 06:13:56.430,843239,walk,-0.0723,0.1167,1.3418,-4.5166,3.54,-6.3477
2025-05-29 06:13:56.480,843289,walk,-0.0049,0.0034,1.2163,-6.8359,0.9766,-3.3569
2025-05-29 06:13:56.530,843339,walk,-0.1714,0.1226,1.1367,-1.9531,7.019,-1.2207
2025-05-29 06:13:56.579,843389,walk,0.019,-0.0303,0.6602,-7.6904,-1.5869,5.7983
2025-05-29 06:13:56.629,843439,walk,0.0566,-0.0024,0.6284,-3.8452,-3.418,3.7842
2025-05-29 06:13:56.680,843489,walk,-0.4033,-1.3208,1.9429,-10.5591,-2.5635,-16.1133
2025-05-29 06:13:56.730,843539,walk,-0.0962,-0.1748,1.8726,3.7842,8.7891,-52.2461
2025-05-29 06:13:56.780,843589,walk,-0.0547,-0.1201,1.4375,-7.0801,2.0142,-65.3076
2025-05-29 06:13:56.830,843639,walk,0.123,0.1094,0.48,-13.7329,0.2441,-68.6035
2025-05-29 06:13:56.880,843689,walk,0.0498,-0.0352,0.1821,6.958,-1.3428,-63.3545
